run,concurrency,isl,osl,num_prompts,sampled_s,samples,GPU_0_avg_temp,GPU_0_avg_power,GPU_1_avg_temp,GPU_1_avg_power,GPU_2_avg_temp,GPU_2_avg_power,GPU_3_avg_temp,GPU_3_avg_power,GPU_4_avg_temp,GPU_4_avg_power,GPU_5_avg_temp,GPU_5_avg_power,GPU_6_avg_temp,GPU_6_avg_power,GPU_7_avg_temp,GPU_7_avg_power
2,1,2048,512,8,44,21,38.5,308.6,35.5,294.1,39.0,305.1,36.2,300.1,39.0,303.4,35.6,289.8,40.0,297.9,36.5,292.9
2,1,4096,1024,8,83,39,44.0,331.2,39.0,314.9,44.4,328.2,39.4,321.9,44.5,325.9,38.9,310.9,45.4,321.6,39.8,313.8
2,1,1024,4096,8,164,76,46.5,347.7,40.1,330.6,46.7,343.6,40.4,337.1,46.7,338.9,40.1,326.8,47.8,339.2,41.0,328.6
2,8,2048,512,64,91,42,49.7,471.6,44.0,449.7,49.8,469.7,44.5,459.2,49.7,460.9,43.8,443.0,51.2,458.8,44.7,447.7
2,8,4096,1024,64,160,74,58.0,509.6,48.3,479.3,58.0,503.4,48.8,487.9,57.5,496.1,47.8,470.5,59.2,494.1,49.0,477.1
2,8,1024,4096,64,335,154,60.1,529.2,49.1,496.1,59.4,516.3,49.7,504.9,59.0,508.6,48.7,488.3,60.9,510.5,49.5,488.0
2,32,4096,1024,256,206,94,59.0,559.7,49.5,523.7,58.9,553.8,50.2,535.7,58.5,546.0,49.2,519.1,60.0,544.8,50.2,524.0
2,64,2048,512,512,303,138,62.7,592.2,51.6,552.3,62.4,586.8,52.4,565.4,62.1,577.7,51.4,545.9,63.7,574.1,52.3,551.7
2,128,2048,512,1024,557,255,61.7,553.9,50.7,517.3,61.7,550.6,51.3,528.4,61.2,543.7,50.3,510.4,63.0,541.3,51.5,519.0
2,192,2048,512,1536,706,322,64.2,578.4,52.1,537.3,64.0,576.2,52.9,549.1,63.4,565.7,51.7,529.3,65.3,563.8,52.9,539.4
2,256,2048,512,2048,904,414,64.7,583.4,52.2,540.9,64.4,582.0,53.2,554.8,64.0,571.4,52.3,540.2,65.7,569.1,53.0,541.3
